char,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size
result_item,estimator_2,T_value_2,estimator_3,T_value_3,estimator_4,T_value_4,estimator_6,T_value_6,estimator_9,T_value_9,estimator_12,T_value_12,estimator_18,T_value_18,estimator_24,T_value_24,estimator_30,T_value_30,estimator_36,T_value_36
2005/6/1,0.001775384,0.075078058,0.006849921,0.420236178,0.003520906,0.280316336,,,,,,,,,,,,,,
2005/7/1,-0.014713724,-1.201128692,0.00169472,0.108010824,0.005602533,0.457548238,,,,,,,,,,,,,,
2005/8/1,0.016988567,1.717890652,0.00053091,0.035470141,0.009290135,0.685693452,,,,,,,,,,,,,,
2005/9/1,-0.005959077,-0.226228989,-0.002466734,-0.138653733,-0.009845564,-0.66549934,,,,,,,,,,,,,,
2005/10/10,-0.02481879,-1.981189921,-0.006412515,-0.372967037,-0.003374556,-0.256413591,,,,,,,,,,,,,,
2005/11/1,-0.001480579,-0.343752426,-0.015172571,-1.31451536,-0.00354446,-0.266909221,,,,,,,,,,,,,,
2005/12/1,-0.007662182,-0.861795505,-0.007635233,-1.288137897,-0.016237954,-1.871660978,,,,,,,,,,,,,,
2006/1/4,0.003291829,0.193359494,0.004260976,0.374520489,0.001399645,0.157522044,,,,,,,,,,,,,,
2006/2/6,0.023912738,11.51059268,0.009167778,0.756504144,0.008598365,0.944633917,-0.002230215,-0.230759277,-0.00086005,-0.105953858,0.003321699,0.479082178,,,,,,,,
2006/3/1,0.007872255,0.85832205,0.014400592,1.775291283,0.005602461,0.574596404,0.003896182,0.587614295,0.001946235,0.256193523,0.003396604,0.475139456,,,,,,,,
2006/4/3,0.008587376,1.228789382,0.013245435,2.202342164,0.01675639,3.080333188,0.008473307,1.281871648,0.00380012,0.486024432,0.00357034,0.502686385,,,,,,,,
2006/5/8,0.020508554,2.696501424,0.013422272,1.744683227,0.015299781,2.552236749,0.010496,1.525413331,0.002021193,0.279896314,0.001789144,0.272095268,,,,,,,,
2006/6/1,-0.006562987,-0.233847319,-0.000861028,-0.044657517,-0.000765595,-0.052942902,0.006271228,0.581850582,0.001559141,0.201351486,0.000415585,0.055923132,,,,,,,,
2006/7/3,-0.031860602,-6.91491312,-0.01105689,-0.640546213,-0.005375464,-0.388128578,-0.000409557,-0.03971583,0.000723194,0.093962442,-0.000887063,-0.121006373,,,,,,,,
2006/8/1,-0.022360176,-18.75674159,-0.029105095,-5.230728888,-0.014085745,-1.03115197,-0.008225109,-0.813882647,-0.002689342,-0.327635373,-0.005859444,-0.835515477,,,,,,,,
2006/9/1,-0.010794512,-1.531743106,-0.014927025,-2.580630194,-0.022533203,-2.856877002,-0.007218993,-0.671623873,0.000129209,0.015550156,-0.001591775,-0.246755682,,,,,,,,
2006/10/9,-0.004180257,-1.441508664,-0.010047784,-1.944913168,-0.01330653,-2.775967347,-0.009659716,-0.993094576,-0.003073105,-0.412500882,-0.0018538,-0.298591675,,,,,,,,
2006/11/1,0.003943836,0.499339542,0.002392936,0.441865207,-0.003630984,-0.549187307,-0.012926378,-1.717705384,-0.003612451,-0.492491378,-0.000616413,-0.09581596,,,,,,,,
2006/12/1,0.034908238,2.265847814,0.02091596,1.361476449,0.015917647,1.293243915,0.003377699,0.308742711,0.002878254,0.297828294,0.005968774,0.783375326,,,,,,,,
2007/1/4,0.04931556,11.63327359,0.037386832,3.686519496,0.026534869,2.194711909,0.014126514,1.289511255,0.006068857,0.599293911,0.007260316,0.939322172,,,,,,,,
2007/2/1,0.012858332,0.5755562,0.026887415,1.431000732,0.023424035,1.625811837,0.015342679,1.445190167,0.001285913,0.13144074,0.004483552,0.575520909,,,,,,,,
