,estimator,T_value
2006-01-04,-0.04997309548496212,-inf
2006-02-06,-0.06612107754447788,-inf
2006-03-01,0.026415594733138113,inf
2006-04-03,-0.038794894049926344,-inf
2006-05-08,-0.13525683656358903,-inf
2006-06-01,0.1668242502422198,inf
2006-07-03,0.005804193700431542,inf
2006-08-01,0.01122802442542326,inf
2006-09-01,-0.009268807886770513,-inf
2006-10-09,0.00604842338043568,inf
2006-11-01,-0.032472529976257616,-inf
2006-12-01,-0.1638070310140355,-inf
2007-01-04,-0.16201977743420148,-inf
2007-02-01,0.18533109093790986,inf
2007-03-01,0.21258654106915795,inf
2007-04-02,0.15844408402476293,inf
2007-05-08,0.14674069001896467,inf
2007-06-01,-0.09719108618202402,-inf
2007-07-02,-0.1951509637922347,-inf
2007-08-01,0.10381399535924153,inf
2007-09-03,-0.05729238732658211,-inf
2007-10-08,-0.00992459882158123,-inf
2007-11-01,-0.05241948688371815,-inf
2007-12-03,0.11963473161436544,inf
2008-01-02,0.01952288999666483,inf
2008-02-01,0.057297909920086654,inf
2008-03-03,0.05568570010436893,inf
2008-04-01,-0.0017721226391744168,-inf
2008-05-05,-0.20797146800451125,-inf
2008-06-02,0.0537777441418647,inf
2008-07-01,-0.034005424524747294,-inf
2008-08-01,0.07927534694784538,inf
2008-09-01,-0.036404505729939175,-inf
2008-10-06,-0.034934135962086756,-inf
2008-11-03,0.011235876682603712,inf
2008-12-01,0.15538878077606713,inf
2009-01-05,0.10939050386000942,inf
2009-02-02,-0.004614812577475096,-inf
2009-03-02,-0.02317170160747117,-inf
2009-04-01,0.005697773358364015,inf
2009-05-04,-0.012508236229180033,-inf
2009-06-01,-0.019143720314564617,-inf
2009-07-01,-0.087102769109936,-inf
2009-08-03,-0.06347116866137205,-inf
2009-09-01,0.07153986114823398,inf
2009-10-09,-0.01067393920526557,-inf
2009-11-02,0.014538399231021168,inf
2009-12-01,0.06833603011352081,inf
2010-01-04,-0.017913856108569125,-inf
2010-02-01,0.02405832519495519,inf
2010-03-01,0.011526809700716088,inf
2010-04-01,0.0038155118260681073,inf
2010-05-04,-0.061312567031733003,-inf
2010-06-01,-0.02109978748388557,-inf
2010-07-01,-0.021994527153299484,-inf
2010-08-02,0.022039104990916058,inf
2010-09-01,0.07675535570786945,inf
2010-10-08,-0.049613836090698006,-inf
2010-11-01,-0.07142245295807499,-inf
2010-12-01,0.12404192273566325,inf
2011-01-04,-0.03455769458604403,-inf
2011-02-01,-0.06902571700478831,-inf
2011-03-01,0.019280799612194324,inf
2011-04-01,-0.038948812675425014,-inf
2011-05-03,-0.039239059870443085,-inf
2011-06-01,-0.004422150856696994,-inf
2011-07-01,0.033942673159254554,inf
2011-08-01,0.06153406739592998,inf
2011-09-01,0.04782223524577019,inf
2011-10-10,-0.04502462316135226,-inf
2011-11-01,0.014444196986529278,inf
2011-12-01,0.02180085248061533,inf
2012-01-04,-0.11233485862904406,-inf
2012-02-01,-0.08489066565031197,-inf
2012-03-01,0.11055184700081722,inf
2012-04-05,-0.01804141076924161,-inf
2012-05-02,-0.004542073425208491,-inf
2012-06-01,0.06731648792352668,inf
2012-07-02,0.04210111564259755,inf
2012-08-01,-0.09626782758317026,-inf
2012-09-03,0.08784475584000347,inf
2012-10-08,-0.03144362075862766,-inf
2012-11-01,0.0005592000222555549,inf
2012-12-03,-0.05399784935224114,-inf
2013-01-04,0.04584965471105744,inf
2013-02-01,0.008141126928743,inf
2013-03-01,0.054640653094210956,inf
2013-04-01,0.005383712958137365,inf
2013-05-02,-0.008989248200491238,-inf
2013-06-03,0.10431682823098973,inf
2013-07-01,-0.02898617637173579,-inf
2013-08-01,0.07171052253532802,inf
2013-09-02,-0.012153758582958214,-inf
2013-10-08,-0.005118650618986669,-inf
2013-11-01,-0.04624885429906587,-inf
2013-12-02,0.08377195202664563,inf
2014-01-02,-0.020573807822810007,-inf
2014-02-07,0.05646098299034692,inf
2014-03-03,0.003477728929090211,inf
2014-04-01,-0.05675274554082795,-inf
2014-05-05,-0.020003587691117347,-inf
2014-06-03,0.01964732940393125,inf
2014-07-01,0.025766534085271423,inf
2014-08-01,-0.04356890295558004,-inf
2014-09-01,0.04685441307704636,inf
2014-10-08,0.0759918628720565,inf
2014-11-03,-0.04253033400124965,-inf
2014-12-01,-0.07982675127408521,-inf
2015-01-05,-0.3877314609770589,-inf
2015-02-02,0.15341134979113832,inf
2015-03-02,0.06674000503149469,inf
2015-04-01,0.14772354008539865,inf
2015-05-04,0.003167730222765886,inf
2015-06-01,0.48635424905083524,inf
2015-07-01,-0.17967559346866283,-inf
2015-08-03,0.0005295515962487536,inf
2015-09-01,-0.062350236980028756,-inf
2015-10-08,0.04210559941291881,inf
2015-11-02,0.029120021968571684,inf
2015-12-01,0.12194528487764902,inf
2016-01-04,-0.025802314309308218,-inf
2016-02-01,-0.06996828982372902,-inf
2016-03-01,-0.034624613480215845,-inf
2016-04-01,0.10064702918984059,inf
2016-05-03,-0.007133736046171866,-inf
2016-06-01,-0.005755215101338834,-inf
2016-07-01,0.04183290779301501,inf
2016-08-01,-0.06832710884692574,-inf
2016-09-01,0.0006008645285128967,inf
2016-10-10,-0.00307012978694722,-inf
2016-11-01,0.010807765460280698,inf
2016-12-01,-0.007091974244873692,-inf
2017-01-03,-0.01277525438219665,-inf
2017-02-03,-0.07452992370488655,-inf
2017-03-01,0.03833827612610708,inf
2017-04-05,-0.014654580899761176,-inf
2017-05-02,-0.08752765041020469,-inf
2017-06-01,-0.08066493242091664,-inf
2017-07-03,0.020172344857312337,inf
2017-08-01,-0.043203227983105844,-inf
2017-09-01,0.08116112355265094,inf
2017-10-09,0.04628657773762248,inf
2017-11-01,-0.00692263955575325,-inf
2017-12-01,-0.04712641868867508,-inf
2018-01-02,-0.0031141306521902524,-inf
2018-02-01,-0.06800634237143013,-inf
2018-03-01,0.021608941176480084,inf
2018-04-02,0.1827627499787991,inf
2018-05-02,6.978339493440047e-05,inf
2018-06-01,-0.0006059246879400841,-inf
2018-07-02,-0.013245851268355304,-inf
2018-08-01,-0.03623670777964628,-inf
2018-09-03,-0.033940934881826756,-inf
2018-10-08,-0.01162654716269108,-inf
2018-11-01,0.023119450721677988,inf
2018-12-03,0.08567127493549964,inf
2019-01-02,0.016037612875855596,inf
2019-02-01,-0.09158727380052886,-inf
2019-03-01,0.12305327393234733,inf
2019-04-01,0.03158450153839286,inf
2019-05-06,-0.06996111901981747,-inf
2019-06-03,0.04578883296781153,inf
2019-07-01,-0.027029307105148816,-inf
2019-08-01,-0.02252444664554467,-inf
2019-09-02,0.004952494076165865,inf
2019-10-08,0.01614662729285263,inf
2019-11-01,-0.026599729377629867,-inf
2019-12-02,-0.011137387669981064,-inf
2020-01-02,0.04086121919340271,inf
2020-02-03,0.03159420918651336,inf
2020-03-02,0.011493030950683915,inf
2020-04-01,0.06523471733305011,inf
2020-05-06,-0.056087718111236445,-inf
2020-06-01,0.03343022578700526,inf
